Round,Turn,Entity,e cash,t cash,y cash,e net,t net,y net,Baltimore & Ohio cash,Boston & Maine cash,Chesapeake & Ohio cash,Illinois Central cash,Erie cash,New York Central cash,Nickel Plate cash,New York New Haven & Hartford cash,Pennsylvania cash,Wabash cash,Baltimore & Ohio np,Boston & Maine np,Chesapeake & Ohio np,Illinois Central np,Erie np,New York Central np,Nickel Plate np,New York New Haven & Hartford np,Pennsylvania np,Wabash np,Baltimore & Ohio val,Boston & Maine val,Chesapeake & Ohio val,Illinois Central val,Erie val,New York Central val,Nickel Plate val,New York New Haven & Hartford val,Pennsylvania val,Wabash val,Baltimore & Ohio pps,Boston & Maine pps,Chesapeake & Ohio pps,Illinois Central pps,Erie pps,New York Central pps,Nickel Plate pps,New York New Haven & Hartford pps,Pennsylvania pps,Wabash pps,Baltimore & Ohio sh,Boston & Maine sh,Chesapeake & Ohio sh,Illinois Central sh,Erie sh,New York Central sh,Nickel Plate sh,New York New Haven & Hartford sh,Pennsylvania sh,Wabash sh,Baltimore & Ohio or,Boston & Maine or,Chesapeake & Ohio or,Illinois Central or,Erie or,New York Central or,Nickel Plate or,New York New Haven & Hartford or,Pennsylvania or,Wabash or,Train 
1,0,y,500,500,466,500,500,500,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,34,34,34,34,34,34,34,34,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,9,10,10,10,10,0,0,0,0,0,0,0,0,0,0,1
1,1,e,432,500,466,500,500,500,0,68,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,34,34,34,34,34,34,34,34,0,0,0,0,0,0,0,0,0,0,10,8,10,10,10,9,10,10,10,10,0,0,0,0,0,0,0,0,0,0,1
1,2,t,432,368,466,500,500,500,0,68,0,0,0,34,0,132,0,0,0,0,0,0,0,0,0,0,0,0,34,34,34,34,34,34,34,66,34,34,0,0,0,0,0,0,0,0,0,0,10,8,10,10,10,9,10,8,10,10,0,0,0,0,0,0,0,0,0,0,1
1,0,e,366,368,466,500,500,500,0,68,0,0,0,34,0,132,66,0,0,0,0,0,0,0,0,0,0,0,34,34,34,34,34,34,34,66,66,34,0,0,0,0,0,0,0,0,0,0,10,8,10,10,10,9,10,8,9,10,0,0,0,0,0,0,0,0,0,0,1
1,1,y,366,368,411,500,500,500,55,68,0,0,0,34,0,132,66,0,0,0,0,0,0,0,0,0,0,0,55,34,34,34,34,34,34,66,66,34,0,0,0,0,0,0,0,0,0,0,9,8,10,10,10,9,10,8,9,10,0,0,0,0,0,0,0,0,0,0,1
1,2,t,366,248,411,500,500,500,55,68,120,0,0,34,0,132,66,0,0,0,0,0,0,0,0,0,0,0,55,34,60,34,34,34,34,66,66,34,0,0,0,0,0,0,0,0,0,0,9,8,8,10,10,9,10,8,9,10,0,0,0,0,0,0,0,0,0,0,1
