Round,Turn,Entity,A cash,S cash,X cash,A net,S net,X net,Baltimore & Ohio cash,Boston & Maine cash,Chesapeake & Ohio cash,Illinois Central cash,Erie cash,New York Central cash,Nickel Plate cash,New York New Haven & Hartford cash,Pennsylvania cash,Wabash cash,Norfolk & Western cash,Baltimore & Ohio np,Boston & Maine np,Chesapeake & Ohio np,Illinois Central np,Erie np,New York Central np,Nickel Plate np,New York New Haven & Hartford np,Pennsylvania np,Wabash np,Norfolk & Western np,Baltimore & Ohio val,Boston & Maine val,Chesapeake & Ohio val,Illinois Central val,Erie val,New York Central val,Nickel Plate val,New York New Haven & Hartford val,Pennsylvania val,Wabash val,Norfolk & Western val,Baltimore & Ohio pps,Boston & Maine pps,Chesapeake & Ohio pps,Illinois Central pps,Erie pps,New York Central pps,Nickel Plate pps,New York New Haven & Hartford pps,Pennsylvania pps,Wabash pps,Norfolk & Western pps,Baltimore & Ohio sh,Boston & Maine sh,Chesapeake & Ohio sh,Illinois Central sh,Erie sh,New York Central sh,Nickel Plate sh,New York New Haven & Hartford sh,Pennsylvania sh,Wabash sh,Norfolk & Western sh,Baltimore & Ohio or,Boston & Maine or,Chesapeake & Ohio or,Illinois Central or,Erie or,New York Central or,Nickel Plate or,New York New Haven & Hartford or,Pennsylvania or,Wabash or,Norfolk & Western or,Train 
2,9,New York Central,260,260,233,548,532,572,10001,9909,9918,9928,10000,9809,9878,9878,9969,9914,9834,90,10,20,20,0,10,10,20,60,10,80,66,60,74,74,55,60,66,66,74,74,82,0,0,0,0,0,6,0,0,0,0,0,9,9,9,9,9,9,8,9,9,9,8,0,0,0,0,0,0,0,0,0,0,0,12
2,10,Erie,260,260,235,548,532,579,10001,9909,9918,9928,9833,9809,9878,9878,9969,9914,9834,90,10,20,20,20,10,10,20,60,10,80,66,60,74,74,60,60,66,66,74,74,82,0,0,0,0,7,6,0,0,0,0,0,9,9,9,9,9,9,8,9,9,9,8,0,0,0,0,0,0,0,0,0,0,0,13
3,0,Norfolk & Western,260,260,247,548,532,575,10001,9909,9918,9928,9833,9809,9878,9878,9969,9914,9882,90,10,20,20,20,10,10,20,60,10,60,66,60,74,74,60,60,66,66,74,74,74,0,0,0,0,0,0,0,0,0,0,-2,9,9,9,9,9,9,8,9,9,9,8,0,0,0,0,0,0,0,0,0,0,0,13
